1 ,0.025
2 ,0.05
3 ,0.075
4 ,0.1
5 ,0.125
6 ,0.15
7 ,0.175
8 ,0.2
9 ,0.225
10 ,0.25
11 ,0.275
12 ,0.3
13 ,0.325
14 ,0.35
15 ,0.375
16 ,0.4
17 ,0.425
18 ,0.45
19 ,0.475
20 ,0.5
21 ,0.525
22 ,0.55
23 ,0.575
24 ,0.6
25 ,0.625
26 ,0.65
27 ,0.675
28 ,0.7
29 ,0.725
30 ,0.75
31 ,0.775
32 ,0.8
33 ,0.825
34 ,0.85
35 ,0.875
36 ,0.9
37 ,0.925
38 ,0.95
39 ,0.975
40 ,1.0
41 ,0.34166667
42 ,0.35
43 ,0.35833332
44 ,0.36666667
45 ,0.375
46 ,0.38333333
47 ,0.39166668
48 ,0.4
49 ,0.40833333
50 ,0.41666666
51 ,0.425
52 ,0.43333334
53 ,0.44166666
54 ,0.45
55 ,0.45833334
56 ,0.46666667
57 ,0.475
58 ,0.48333332
59 ,0.49166667
60 ,0.5
61 ,0.5083333
62 ,0.51666665
63 ,0.525
64 ,0.53333336
65 ,0.5416667
66 ,0.55
67 ,0.55833334
68 ,0.56666666
69 ,0.575
70 ,0.5833333
71 ,0.59166664
72 ,0.6
73 ,0.60833335
74 ,0.6166667
75 ,0.625
76 ,0.6333333
77 ,0.64166665
78 ,0.65
79 ,0.65833336
80 ,0.6666667
81 ,0.50625
82 ,0.5125
83 ,0.51875
84 ,0.525
85 ,0.53125
86 ,0.5375
87 ,0.54375
88 ,0.55
89 ,0.55625
90 ,0.5625
91 ,0.56875
92 ,0.575
93 ,0.58125
94 ,0.5875
95 ,0.59375
96 ,0.6
97 ,0.40416667
98 ,0.40833333
99 ,0.4125
100 ,0.41666666
101 ,0.42083332
102 ,0.425
103 ,0.42916667
104 ,0.43333334
105 ,0.4375
106 ,0.44166666
107 ,0.44583333
108 ,0.45
109 ,0.45416668
110 ,0.45833334
111 ,0.4625
112 ,0.46666667
113 ,0.47083333
114 ,0.475
115 ,0.47916666
116 ,0.48333332
117 ,0.4875
118 ,0.49166667
119 ,0.49583334
120 ,0.5
121 ,0.50416666
122 ,0.5083333
123 ,0.5125
124 ,0.51666665
125 ,0.5208333
126 ,0.525
127 ,0.52916664
128 ,0.53333336
129 ,0.5375
130 ,0.5416667
131 ,0.54583335
132 ,0.55
133 ,0.5541667
134 ,0.55833334
135 ,0.5625
136 ,0.56666666
137 ,0.5708333
138 ,0.575
139 ,0.57916665
140 ,0.5833333
141 ,0.5875
142 ,0.59166664
143 ,0.59583336
144 ,0.6
145 ,0.6041667
146 ,0.60833335
147 ,0.525
148 ,0.5285714
149 ,0.5321429
150 ,0.53571427
151 ,0.5392857
152 ,0.54285717
153 ,0.54642856
154 ,0.55
155 ,0.5535714
156 ,0.55714285
157 ,0.5607143
158 ,0.5642857
159 ,0.56785715
160 ,0.5714286
161 ,0.575
162 ,0.57857144
163 ,0.58214283
164 ,0.5857143
165 ,0.58928573
166 ,0.5928571
167 ,0.5964286
168 ,0.6
169 ,0.6035714
170 ,0.60714287
171 ,0.61071426
172 ,0.6142857
173 ,0.61785716
174 ,0.62142855
175 ,0.625
176 ,0.62857145
177 ,0.63214284
178 ,0.6357143
179 ,0.63928574
180 ,0.64285713
181 ,0.6464286
182 ,0.65
183 ,0.6535714
184 ,0.6571429
185 ,0.66071427
186 ,0.6642857
187 ,0.66785717
188 ,0.67142856
189 ,0.675
190 ,0.6785714
191 ,0.68214285
192 ,0.6857143
193 ,0.6892857
194 ,0.69285715
195 ,0.609375
196 ,0.6125
197 ,0.615625
198 ,0.495
199 ,0.4975
200 ,0.5
201 ,0.5025
202 ,0.505
203 ,0.5075
204 ,0.51
205 ,0.5125
206 ,0.515
207 ,0.5175
208 ,0.52
209 ,0.5225
210 ,0.525
211 ,0.5275
212 ,0.53
213 ,0.5325
214 ,0.535
215 ,0.5375
216 ,0.54
217 ,0.5425
218 ,0.545
219 ,0.5475
220 ,0.55
221 ,0.5525
222 ,0.555
223 ,0.5575
224 ,0.56
225 ,0.5625
226 ,0.565
227 ,0.5675
228 ,0.57
229 ,0.5725
230 ,0.575
231 ,0.5775
232 ,0.58
233 ,0.5825
234 ,0.585
235 ,0.5875
236 ,0.59
237 ,0.5925
238 ,0.595
239 ,0.5975
240 ,0.6
241 ,0.6025
242 ,0.605
243 ,0.6075
244 ,0.61
245 ,0.6125
246 ,0.615
247 ,0.6175
248 ,0.62
249 ,0.6225
250 ,0.625
251 ,0.6275
252 ,0.63
253 ,0.6325
254 ,0.635
255 ,0.6375
256 ,0.64
257 ,0.6425
258 ,0.645
259 ,0.58863634
260 ,0.5416667
261 ,0.54375
262 ,0.54583335
263 ,0.46964285
264 ,0.47142857
265 ,0.4732143
266 ,0.475
267 ,0.47678572
268 ,0.47857141
269 ,0.48035714
270 ,0.48214287
271 ,0.48392856
272 ,0.4857143
273 ,0.4875
274 ,0.4892857
275 ,0.49107143
276 ,0.49285713
277 ,0.49464285
278 ,0.49642858
279 ,0.49821427
280 ,0.5
281 ,0.5017857
282 ,0.50357145
283 ,0.50535715
284 ,0.47333333
285 ,0.475
286 ,0.47666666
287 ,0.47833332
288 ,0.48
289 ,0.48166665
290 ,0.48333332
291 ,0.485
292 ,0.48666668
293 ,0.48833334
294 ,0.49
295 ,0.49166667
296 ,0.49333334
297 ,0.495
298 ,0.49666667
299 ,0.49833333
300 ,0.5
301 ,0.50166667
302 ,0.50333333
303 ,0.505
304 ,0.50666666
305 ,0.5083333
306 ,0.51
307 ,0.51166666
308 ,0.5133333
